date,channel_id,video_id,device_type,operating_system,traffic_source_type,traffic_source_detail,video_thumbnail_impressions,video_thumbnail_impressions_ctr
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,4,7,S4tXGHeKBHs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,S4tXGHeKBHs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,4,7,SlDTZdCoX7w,2,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,SlDTZdCoX7w,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,VPca_E6_YTU,1,1
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,31,7,Vhn6TEkp3Hk,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,X46g7NdKPlY,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,4,7,XTwmNFbN_Zs,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,2,7,YzNjcdJ2JhA,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,2,7,__PF3xDg1Ak,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,4,7,a9U4uap71ME,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,a9U4uap71ME,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,105,5,7,a9U4uap71ME,1,0
